,url,content_dec
192,https://sputnikglobe.com//20240905/ukraine-loses-up-to-745-soldiers-in-battle-with-russias-battlegroup-yug---mod-1120035098.html,
193,https://sputnikglobe.com//20240530/austin-heads-to-singapore-set-for-first-in-person-meeting-with-chinese-counterpart-1118695197.html,
194,https://sputnikglobe.com//20240810/watch-russian-armed-forces-destroy-ukrainian-us-made-maxxpro-armored-vehicle-with-a-drone---1119704733.html,
195,https://sputnikglobe.com//20220810/less-than-25-of-britons-ready-to-host-ukrainian-refugees-for-over-12-months---poll-1099462170.html,
196,https://sputnikglobe.com//20230918/china-slams-top-german-diplomats-provocative-remarks-about-xi-1113455003.html,
197,https://sputnikglobe.com//20220322/nokian-tyres-suffers-drop-in-shares-after-decision-to-stay-in-russia-1094072989.html,
198,https://sputnikglobe.com//20240301/indicators-and-forecasts-of-world-gdp-of-g7-and-brics--1117065594.html,
199,https://sputnikglobe.com//20240920/israel-lebanon-on-the-brink-turkey-wants-to-join-brics-federal-reserve-rate-cut-1120214027.html,
200,https://sputnikglobe.com//20240524/inter-eu-spat-over-air-defenses-scratches-the-surface-of-deep-divisions-in-europe-1118618394.html,
201,https://sputnikglobe.com//20240121/bidens-foreign-focus-ignites-domestic-discontent-amid-border-crisis-and-ukraine-funding-1116303425.html,
202,https://sputnikglobe.com//20230503/advanced-german-howitzers-supplied-to-ukraine-reportedly-hit-bybad-weather-1110045863.html,
203,https://sputnikglobe.com//20240505/lavrov-says-west-ukraine-not-ready-for-serious-talks-with-russia-1118276441.html,
204,https://sputnikglobe.com//20221221/russian-fm-lavrov-speaks-at-ministerial-council-of-black-sea-economic-co-operation-organization-1105657749.html,
205,https://sputnikglobe.com//20240124/future-of-military-warfare-to-absolutely-take-page-from-black-mirror-scripts-1116369939.html,
206,https://sputnikglobe.com//20241206/russia-recognizes-that-eu-and-us-arent-center-of-universe---ex-cia-analyst-1121106059.html,
207,https://sputnikglobe.com//20230323/how-russia-beat-western-sanctions-and-remained-strong-amid-global-economic-storm-1108731821.html,
208,https://sputnikglobe.com//20240326/watch-russian-rocket-artillery-take-apart-ukrainian-positions-1117556151.html,
209,https://sputnikglobe.com//20230606/ankara-to-continue-dialogue-with-un-to-remove-obstacles-on-grain-deal---source-1110951000.html,
210,https://sputnikglobe.com//20220426/once-the-dust-settles-future-of-us-led-world-order-hinges-on-ukraine-conflict-says-indian-expert-1095066014.html,
211,https://sputnikglobe.com//20240906/russian-strike-on-training-center-in-poltava-killed-and-wounded-about-500-mercs-from-europe-1120059774.html,
212,https://sputnikglobe.com//20240320/eu-partially-extends-suspension-of-duties-on-ukraines-agricultural-exports-until-june-2025-1117437982.html,
213,https://sputnikglobe.com//20240622/russian-north-korean-pact-huge-loss-for-us-allies-in-region-1119067754.html,
214,https://sputnikglobe.com//20220628/from-non-existent-enemies-to-internal-bureaucratic-squabbles-five-reasons-nato-is-obsolete-1096761201.html,
215,https://sputnikglobe.com//20220901/uk-households-face-10-fall-in-income-amid-inflation-and-high-energy-prices-ngo-report-says-1100251666.html,
216,https://sputnikglobe.com//20230724/un-condemns-attacks-on-press-including-death-of-sputnik-zhuravlev-1112120090.html,
217,https://sputnikglobe.com//20230202/biden-admin-aims-to-end-covid-emergency-intensifies-global-tensions-1106898540.html,
218,https://sputnikglobe.com//20220829/oil-prices-increase-4-amid-libya-strife-opec-members-push-for-production-cuts-1100140016.html,
219,https://sputnikglobe.com//20221208/us-to-continue-sending-aid-to-ukraine-blinken-says-after-classified-briefing-with-senate-1105192785.html,
220,https://sputnikglobe.com//20240725/ukraine-allowed-to-strike-russian-territory-in-response-to-action-in-kharkov---scholz-1119494881.html,
